SKU,Units_Sold,Views
679328,416,556
831620,848,887
468104,444,638
877055,367,635
217190,605,932
328108,978,1004
493854,812,1076
490408,1,386
684835,369,772
557213,700,1108
750019,431,663
513849,497,594
158879,25,386
426226,111,345
642426,939,1005
537917,133,448
487533,917,1077
402967,415,863
726486,115,404
644264,29,460
571244,660,880
625178,611,1098
577487,875,1305
372711,591,1009
719583,21,318
516218,621,875
405408,239,511
174865,841,1151
499519,959,1417
181655,46,288
644811,743,777
499760,799,931
478442,365,792
875366,980,1080
139404,542,936
142230,897,1132
856876,539,833
585472,4,368
240752,589,970
848764,791,1205
428974,427,800
553021,743,914
580239,238,563
692558,164,181
528459,336,524
656687,667,1099
207227,730,1072
827857,752,1111
156006,916,1001
716811,344,798
692838,553,990
250376,578,987
509100,546,631
621382,339,606
873269,732,1205
444369,797,1164
178692,968,1039
642136,337,484
411788,975,1063
613690,407,419
688395,251,679
572962,966,1110
389185,939,1156
107578,430,457
165223,796,933
655655,207,309
102787,400,771
163720,439,883
430590,645,991
147671,811,1021
104927,144,236
760711,484,954
167918,691,1110
281984,525,748
525580,379,425
762856,44,250
576001,192,224
453887,136,222
286932,780,957
342668,825,975
387733,179,405
562221,613,969
606635,170,516
179241,67,451
112927,210,241
558021,847,1204
564213,315,384
302945,815,1181
103984,335,421
899054,331,533
473381,309,654
460099,746,1079
467751,905,945
665851,356,665
101083,956,1292
168108,269,469
626105,994,1197
157992,724,747
807378,933,1228
702845,372,650
687364,997,1116
566390,943,1091
567215,296,416
329287,624,847
292362,175,204
686556,418,749
829537,709,1195
80317,604,880
159849,568,803
697553,915,1372
735655,373,599
214814,766,798
99404,601,1018
814180,583,938
574746,730,1112
275688,338,792
105190,675,1069
184631,356,830
304843,158,170
178803,662,1057
473440,847,1335
483545,521,829
286018,894,1184
219113,835,1328
735393,874,1052
825897,967,1165
423704,629,943
353962,130,202
843789,47,106
653068,396,595
244482,40,200
782637,418,655
630418,985,1205
660198,296,498
438812,282,430
278620,82,264
711889,585,760
365979,458,937
470342,386,461
612845,511,857
329122,529,895
323836,783,1187
233924,714,1157
551269,480,606
272904,606,863
738024,471,877
605052,429,621
510380,163,272
586424,580,649
518580,591,1039
749039,168,596
143158,500,669
330864,133,606
142469,697,819
388835,15,465
680947,101,552
728658,848,1315
844624,576,946
860901,45,384
314754,81,513
111741,365,436
535202,325,561
724129,775,984
505030,375,415
634929,983,1376
373612,66,121
348117,816,1188
386496,547,776
745215,135,300
706982,406,569
329516,786,856
472147,867,985
587627,440,807
407706,231,501
854410,54,447
548133,456,532
729999,252,503
723485,217,344
649830,778,1232
468497,935,945
499620,546,1036
707269,417,773
