Brand,Product_Name,Duplicate_Count
woolworths,Woolworths Classic Coleslaw,10
woolworths,Woolworths Spring Water,9
nutella,Nutella Hazelnut Spread,9
glad,Glad Cling Wrap,9
moccona,Moccona Freeze Dried Instant Coffee Classic Medium Roast,8
vegemite,Vegemite Spread,8
woolworths,Woolworths Creamy Pasta Salad,8
heinz,Heinz Baked Beans Tomato Sauce,7
nescafe,Nescafe Blend 43 Instant Coffee Jar,6
mount franklin,Mount Franklin Still Water Bottle,6
moccona,Moccona Freeze Dried Instant Coffee Classic Dark Roast,6
nerada,Nerada Tea Bags,6
flora,Flora Margarine Spread Original,6
dilmah,Dilmah Extra Strength Tea Bags,6
dairylea,Dairylea Cheddar Cheese,6
devondale,Devondale Extra Soft Butter Blend,6
bega,Bega Peanut Butter Crunchy,6
bega,Bega Peanut Butter Smooth,6
campos,Campos Superior Coffee Beans,6
caffe aurora,Caffe Aurora Ground Coffee Italian Style,6
woolworths,Woolworths Creamy Potato Salad,6
vittoria,Vittoria Espresso Ground Coffee,6
twinings,Twinings Earl Grey Tea Bags,6
twinings,Twinings English Breakfast Tea Bags,6
uncle tobys,Uncle Tobys Le Snak Cheddar Cheese Dip & Crackers,6
uncle tobys,Uncle Tobys Le Snak Tasty Cheese Dip & Crackers,6
sistema,Sistema Klip It Plus Rectangle,6
nutino,Nutino Hazelnut Spread Spread,6
red bull,Red Bull Energy Drink,6
sanitarium,Sanitarium Up&go Liquid Breakfast Banana,6
sanitarium,Sanitarium Up&go Liquid Breakfast Choc Ice,6
sanitarium,Sanitarium Up&go Liquid Breakfast Strawberry,6
sanitarium,Sanitarium Up&go Liquid Breakfast Vanilla Ice,6
sanitarium,Sanitarium Up&go Protein Energize Choc,6
pauls,Pauls Vanilla Custard,5
woolworths,Woolworths Leafy Mix,5
woolworths,Woolworths Tasty Cheese Block,5
coon,Coon Cheese Slices Tasty,5
heinz,Heinz Spaghetti Tomato Sauce,5
kellogg's,Kellogg's Lcms Yoghurty Split Stix Snack Bars,4
kellogg's,Kellogg's Nutri-grain Original Cereal Snack Bars,4
kleenex,Kleenex Anti-bacterial Wet Wipes,4
kellogg's,Kellogg's Lcms Kaleidos Snack Bars,4
NULL,Kiwi Fruit Green,4
lavazza,Lavazza Crema E Gusto Classico Ground Coffee,4
lavazza,Lavazza Qualita Rossa Ground Coffee,4
lemnos,Lemnos Haloumi Cheese,4
lavazza,Lavazza Qualita Oro Coffee Beans,4
lavazza,Lavazza Qualita Oro Ground Coffee,4
lipton,Lipton Quality Black Tea Bags,4
listerine,Listerine Total Care Mouthwash,4
l'or,L'or Espresso Colombia Intensity 8 Coffee Capsules,4
golden circle,Golden Circle Orange Juice,4
harris,Harris Coffee Ground Smooth,4
hercules,Hercules Click Zip Resealable Sandwich Bags,4
kanzi,Kanzi Apple,4
nescafe,Nescafe Gold Orginal Soluble Instant Coffee,4
l'or,L'or Espresso Onyx Intensity 12 Coffee Capsules,4
madura,Madura Premium Blend Tea Bags,4
mainland,Mainland On The Go Tasty Cheese And Crackers,4
mersey valley,Mersey Valley Jalapeno Cheese,4
